json_path,json_field,ontology_term,term_type,source_file,mapping_status,notes
[].constituencyOrPanel,(constituency/panel individual),members:Constituencies,Class,members.owl.ttl,mapped,"Primary individual; subtyped as members:DailConstituency or members:SeanadPanel based on representType field"
[].constituencyOrPanel.uri,uri,members:Constituencies,Class,members.owl.ttl,mapped,"Used directly as the IRI of the :DailConstituency or :SeanadPanel individual"
[].constituencyOrPanel.showAs,showAs,skos:prefLabel,AnnotationProperty,skos,mapped,"Display label on the constituency/panel individual e.g. 'Dublin Mid-West'; 'Agricultural Panel'"
[].constituencyOrPanel.representCode,representCode,members:representCode,DatatypeProperty,members.owl.ttl,mapped,"xsd:string; short API code on the Constituencies individual e.g. 'Dublin-Mid-West'; 'Agricultural-Panel'; also the slug in the individual IRI"
[].constituencyOrPanel.representType,representType,members:DailConstituency / members:SeanadPanel,Class,members.owl.ttl,implicit,"'constituency' → members:DailConstituency; 'panel' → members:SeanadPanel; expressed via OWL class typing not a string property; the two subclasses are owl:disjointWith each other"
[].house,(house term individual),agents:HouseTerm,Class,agents.owl.ttl,mapped,"Associated HouseTerm reference individual. In Phase 2 use house.uri only as a link object; do not emit class or descriptive triples because they remain Houses-owned."
[].house,(term link),members:constituencyInHouseTerm,ObjectProperty,members.owl.ttl,new,"Domain: members:Constituencies; Range: agents:HouseTerm; links the constituency/panel to the specific numbered term for which it is defined; rdfs:subPropertyOf members:inHouseTerm"
[].house.uri,uri,agents:HouseTerm,Class,agents.owl.ttl,mapped,"Reference-only HouseTerm IRI; used as the object value of members:constituencyInHouseTerm on the constituencyOrPanel individual. HouseTerm descriptions remain Houses-owned."
[].house.houseNo,houseNo,agents:termNo,DatatypeProperty,agents.owl.ttl,mapped,"xsd:integer; ordinal number encoded in the reference HouseTerm IRI path. Do not emit agents:termNo in the Phase 2 graph; it remains Houses-owned."
[].house.houseCode,houseCode,agents:houseCode,DatatypeProperty,agents.owl.ttl,mapped,"xsd:string; short house code used to validate the reference HouseTerm IRI and representType. Do not emit agents:houseCode in the Phase 2 graph; it remains Houses-owned."
[].house.houseCode,houseCode,agents:DailTerm / agents:SeanadTerm,Class,agents.owl.ttl,implicit,"'dail' → agents:DailTerm; 'seanad' → agents:SeanadTerm is Houses-owned class typing. Phase 2 validates the reference IRI but emits no HouseTerm type."
[].house.showAs,showAs,skos:prefLabel,AnnotationProperty,skos,mapped,"Display label on the HouseTerm individual. Do not emit it in Phase 2; HouseTerm labels remain Houses-owned."
